Aana,Road,Places,Price
10,22,Basundhara 05 Tokha,1
5.5,13,Deubachowk Budhanilkhantha,3.75
4,10,Kalanki 14,3.35
4,30,hattigauda Budhanilkantha,7.7
6.2,10,Chandragiri,2.2
5,12,Koteshwor 32,2.7
4,13,Thanot 3,2.5
2,12,Sitapaila 4,6
9.85,10,Dhungedhara 16,2.6
6.2,10,Dhungedhara 16,2.6
6.2,12,Maitidevi 30,8.5
4.3,10,Naag Sthan 8,3
3.2,10,Grande Futsal 06,1.85
3.68,12,Baluwakhani chowk Kapan 10,3.9
4.2,16,Tarkari Bazar 5 balaju,1.35
2.5,26,Tarkeshowr 4,1.9
2.9,12,Sangla 01,1.85
2.9,13,Dakshinkali 4,1
5,13,Tarkeswor 04,3.8
4,20,Tarkeshwor,2.7
4.96,13,Rudreshor Chowk 3,3.5
4.3,12,Gongabu Ganeshsthan 9,3.5
4.96,10,Tokha Road 06,1.9
8,13,Khusibu 17,3.4
3.68,13,Narayantar shivachowk,2.45
4.5,13,Narayanthan 01,2.5
3,10,Sesmati Tokha,1.62
3.21,10,jarankhu 5,2.64
6.5,10,Budanilkantha,7
3.21,13,Ring road,7.5
5,13,Budhanilkantha,15.95
0.5,10,Balaju lolang height tarkari bazar 5,1.35
29,10,Banasthali 16,3
4.5,10,Sundar Basti 8,3.5
3.96,10,Budhanilkantha,3
3.8,10,KarunaHospital Budhanilkhantha,4.2
7,13,Guheshowri Town Planning 6,2.8
